scraped_at,viewers_past_hour,followers,event_count
2026-06-04T22:20:54Z,10422,,
2026-06-04T22:31:39Z,10236,53.8K,3
2026-06-04T23:10:36Z,10730,53.8K,3
2026-06-05T00:17:15Z,10348,53.8K,6
2026-06-05T05:25:02Z,5881,53.8K,6
2026-06-05T10:06:41Z,6128,54.1K,3
2026-06-05T13:55:48Z,9046,54.1K,3
2026-06-05T14:01:22Z,8193,54.1K,6
2026-06-05T15:50:27Z,9328,54.1K,3
2026-06-05T15:53:57Z,9838,54.1K,3
2026-06-05T16:34:07Z,9841,54.1K,6
2026-06-05T19:03:05Z,10542,54.1K,3
2026-06-05T19:10:08Z,11752,54.1K,6
2026-06-05T20:07:14Z,12071,54.1K,6
2026-06-05T20:20:32Z,12862,54.1K,3
2026-06-05T20:24:25Z,11489,54.1K,6
2026-06-05T20:57:29Z,12960,54.1K,6
2026-06-05T21:20:18Z,13027,54.1K,6
2026-06-05T21:50:22Z,11545,54.1K,6
2026-06-05T22:20:22Z,11741,54.1K,6
2026-06-06T00:20:44Z,11537,54.1K,6
2026-06-06T00:50:53Z,14269,54.1K,3
2026-06-06T06:18:31Z,9660,54.1K,5
2026-06-06T06:44:26Z,7905,54.1K,3
2026-06-06T08:42:51Z,4542,54.1K,3
2026-06-06T09:15:13Z,5308,54.4K,3
2026-06-06T09:37:25Z,5727,54.4K,3
2026-06-06T11:11:08Z,7091,54.4K,5
2026-06-06T11:39:34Z,9956,54.4K,5
2026-06-06T12:03:21Z,10760,54.4K,3
2026-06-06T12:53:55Z,12616,54.4K,5
2026-06-06T13:58:31Z,15331,54.4K,5
2026-06-06T14:21:54Z,14316,54.4K,5
2026-06-06T15:59:20Z,15628,54.4K,3
2026-06-06T17:21:29Z,13269,54.4K,5
2026-06-06T17:54:52Z,13611,54.4K,5
2026-06-06T18:46:43Z,13421,54.4K,3
2026-06-06T18:52:48Z,12442,54.4K,5
2026-06-06T20:02:25Z,11414,54.4K,5
2026-06-06T20:45:20Z,11347,54.4K,3
2026-06-06T21:12:24Z,10934,54.4K,3
2026-06-06T21:49:21Z,12301,54.4K,3
2026-06-06T22:42:24Z,10619,54.4K,3
2026-06-06T23:11:25Z,10123,54.4K,5
2026-06-06T23:48:43Z,11292,54.4K,3
2026-06-07T01:53:29Z,10805,54.4K,3
2026-06-07T04:41:15Z,6896,54.4K,5
2026-06-07T05:15:20Z,6558,54.4K,3
2026-06-07T07:44:48Z,4175,54.4K,3
2026-06-07T09:26:37Z,4171,54.8K,3
2026-06-07T09:54:26Z,3880,54.8K,5
2026-06-07T11:55:16Z,5373,54.8K,5
2026-06-07T12:15:45Z,5783,54.8K,5
2026-06-07T13:10:28Z,8143,54.8K,3
2026-06-07T14:34:42Z,10819,54.8K,3
2026-06-07T15:14:53Z,13737,54.8K,5
2026-06-07T16:03:31Z,13212,54.8K,3
2026-06-07T16:57:07Z,14710,54.8K,5
2026-06-07T17:57:37Z,16041,54.8K,5
2026-06-07T18:53:15Z,15387,54.8K,3
2026-06-07T19:43:39Z,13334,54.8K,3
2026-06-07T20:04:18Z,13204,54.8K,3
2026-06-07T20:21:36Z,13196,54.8K,3
2026-06-07T21:21:23Z,14483,54.8K,3
2026-06-07T21:54:09Z,14186,54.8K,3
2026-06-07T22:43:35Z,13678,54.8K,5
2026-06-07T23:13:05Z,14705,54.8K,3
2026-06-07T23:51:38Z,14837,54.8K,5
2026-06-08T01:58:14Z,19284,54.8K,3
2026-06-08T04:45:29Z,8793,54.8K,5
2026-06-08T05:22:10Z,7063,54.8K,5
2026-06-08T08:31:46Z,3955,54.8K,3
2026-06-08T11:33:41Z,8436,55.1K,3
2026-06-08T12:59:00Z,15005,55.1K,3
